2020-06-05 15:33:53,543 - INFO - <module>- Main part starts
2020-06-05 15:33:58,399 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 0.000000e+00
2020-06-05 15:34:02,556 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 5.678530e-15
2020-06-05 15:34:06,930 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 4.484620e-13
2020-06-05 15:34:11,058 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 3.381963e-11
2020-06-05 15:34:15,091 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 1.884106e-09
2020-06-05 15:34:19,099 - INFO - only_fx_mfista- end; fitting. iternum:100, relative dif of F: 3.547105e-08
2020-06-05 15:34:22,416 - INFO - plots_comp- 0 model, rms:1.975301e+01
2020-06-05 15:34:22,447 - INFO - plots_comp- 1 model, rms:1.975300e+01
2020-06-05 15:34:22,483 - INFO - plots_comp- 2 model, rms:1.975299e+01
2020-06-05 15:34:22,515 - INFO - plots_comp- 3 model, rms:1.975286e+01
2020-06-05 15:34:22,548 - INFO - plots_comp- 4 model, rms:1.975176e+01
2020-06-05 15:34:22,580 - INFO - plots_comp- 5 model, rms:1.974325e+01
2020-06-05 15:34:22,615 - INFO - plots_comp- 6 model, rms:2.092132e+01
2020-06-05 15:34:22,650 - INFO - plots_comp- 7 model, rms:2.174629e+01
2020-06-05 15:34:22,740 - INFO - plots_comp- 8 model, rms:0.000000e+00
