2020-06-11 14:50:39,290 - INFO - <module>- Main part starts
2020-06-11 14:50:46,036 - ERROR - only_fx_mfista- Too large L!! Change l1 or l2 values!!
2020-06-11 14:50:46,036 - INFO - only_fx_mfista- end fitting: itercount: 35
2020-06-11 14:50:48,265 - DEBUG - only_fx_mfista- iternum:50, L: 9.598706e+04, F_xk: 6.913109e+00, chi:7.414501e+06, reg: 7.704953e+05, rela_err:7.083841e-06
2020-06-11 14:50:49,434 - DEBUG - only_fx_mfista- iternum:100, L: 9.598706e+04, F_xk: 6.910681e+00, chi:7.413523e+06, reg: 7.270819e+05, rela_err:1.847772e-06
2020-06-11 14:50:50,608 - DEBUG - only_fx_mfista- iternum:150, L: 1.055858e+05, F_xk: 6.909937e+00, chi:7.413267e+06, reg: 7.136970e+05, rela_err:6.451079e-07
2020-06-11 14:50:51,763 - DEBUG - only_fx_mfista- iternum:200, L: 9.598706e+04, F_xk: 6.909649e+00, chi:7.413143e+06, reg: 7.085243e+05, rela_err:2.808223e-07
2020-06-11 14:50:52,932 - DEBUG - only_fx_mfista- iternum:250, L: 9.598706e+04, F_xk: 6.909513e+00, chi:7.413080e+06, reg: 7.060831e+05, rela_err:1.487846e-07
2020-06-11 14:50:54,113 - DEBUG - only_fx_mfista- iternum:300, L: 1.055858e+05, F_xk: 6.909437e+00, chi:7.413055e+06, reg: 7.047035e+05, rela_err:8.632920e-08
2020-06-11 14:50:55,274 - DEBUG - only_fx_mfista- iternum:350, L: 9.598706e+04, F_xk: 6.909391e+00, chi:7.413046e+06, reg: 7.038629e+05, rela_err:5.713713e-08
2020-06-11 14:50:56,434 - DEBUG - only_fx_mfista- iternum:400, L: 1.055858e+05, F_xk: 6.909358e+00, chi:7.413039e+06, reg: 7.032504e+05, rela_err:4.372521e-08
2020-06-11 14:50:57,582 - DEBUG - only_fx_mfista- iternum:450, L: 9.598706e+04, F_xk: 6.909332e+00, chi:7.413031e+06, reg: 7.027725e+05, rela_err:3.517303e-08
2020-06-11 14:50:58,748 - DEBUG - only_fx_mfista- iternum:500, L: 9.598706e+04, F_xk: 6.909311e+00, chi:7.413025e+06, reg: 7.023867e+05, rela_err:2.820123e-08
2020-06-11 14:50:59,863 - DEBUG - only_fx_mfista- iternum:550, L: 9.598706e+04, F_xk: 6.909294e+00, chi:7.413020e+06, reg: 7.020796e+05, rela_err:2.262015e-08
2020-06-11 14:51:01,031 - DEBUG - only_fx_mfista- iternum:600, L: 9.598706e+04, F_xk: 6.909280e+00, chi:7.413017e+06, reg: 7.018250e+05, rela_err:1.915728e-08
2020-06-11 14:51:02,183 - DEBUG - only_fx_mfista- iternum:650, L: 9.598706e+04, F_xk: 6.909268e+00, chi:7.413015e+06, reg: 7.016047e+05, rela_err:1.654377e-08
2020-06-11 14:51:03,349 - DEBUG - only_fx_mfista- iternum:700, L: 9.598706e+04, F_xk: 6.909258e+00, chi:7.413015e+06, reg: 7.014126e+05, rela_err:1.452021e-08
2020-06-11 14:51:04,540 - DEBUG - only_fx_mfista- iternum:750, L: 9.598706e+04, F_xk: 6.909249e+00, chi:7.413014e+06, reg: 7.012454e+05, rela_err:1.257551e-08
2020-06-11 14:51:05,623 - DEBUG - only_fx_mfista- iternum:800, L: 9.598706e+04, F_xk: 6.909241e+00, chi:7.413012e+06, reg: 7.011017e+05, rela_err:1.091523e-08
2020-06-11 14:51:06,751 - DEBUG - only_fx_mfista- iternum:850, L: 9.598706e+04, F_xk: 6.909234e+00, chi:7.413010e+06, reg: 7.009758e+05, rela_err:9.754028e-09
2020-06-11 14:51:07,911 - DEBUG - only_fx_mfista- iternum:900, L: 9.598706e+04, F_xk: 6.909228e+00, chi:7.413007e+06, reg: 7.008637e+05, rela_err:8.703752e-09
2020-06-11 14:51:09,084 - DEBUG - only_fx_mfista- iternum:950, L: 1.055858e+05, F_xk: 6.909223e+00, chi:7.413004e+06, reg: 7.007646e+05, rela_err:7.662988e-09
2020-06-11 14:51:10,236 - DEBUG - only_fx_mfista- iternum:1000, L: 9.598706e+04, F_xk: 6.909218e+00, chi:7.413002e+06, reg: 7.006775e+05, rela_err:6.778158e-09
2020-06-11 14:51:10,394 - INFO - only_fx_mfista- end; fitting. iternum:1000, relative dif of F: 6.768443e-09
2020-06-11 14:51:10,432 - DEBUG - fx_L1_mfista- itercount: 0, L: 9.523810e-05, eta:1.050000e+00
2020-06-11 14:51:10,440 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.000000e-04, eta:1.050000e+00
2020-06-11 14:51:10,451 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.050000e-04, eta:1.050000e+00
2020-06-11 14:51:10,457 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.102500e-04, eta:1.050000e+00
2020-06-11 14:51:10,463 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.157625e-04, eta:1.050000e+00
2020-06-11 14:51:10,469 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.215506e-04, eta:1.050000e+00
2020-06-11 14:51:10,476 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.276282e-04, eta:1.050000e+00
2020-06-11 14:51:10,484 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.340096e-04, eta:1.050000e+00
2020-06-11 14:51:10,490 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.407100e-04, eta:1.050000e+00
2020-06-11 14:51:10,496 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.477455e-04, eta:1.050000e+00
2020-06-11 14:51:10,502 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.551328e-04, eta:1.050000e+00
2020-06-11 14:51:10,507 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.628895e-04, eta:1.050000e+00
2020-06-11 14:51:10,515 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.710339e-04, eta:1.050000e+00
2020-06-11 14:51:10,521 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.795856e-04, eta:1.050000e+00
2020-06-11 14:51:10,526 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.885649e-04, eta:1.050000e+00
2020-06-11 14:51:10,535 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.979932e-04, eta:1.050000e+00
2020-06-11 14:51:10,540 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.078928e-04, eta:1.050000e+00
2020-06-11 14:51:10,546 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.182875e-04, eta:1.050000e+00
2020-06-11 14:51:10,553 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.292018e-04, eta:1.050000e+00
2020-06-11 14:51:10,560 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.406619e-04, eta:1.050000e+00
2020-06-11 14:51:10,568 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.526950e-04, eta:1.050000e+00
2020-06-11 14:51:10,573 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.653298e-04, eta:1.050000e+00
2020-06-11 14:51:10,579 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.785963e-04, eta:1.050000e+00
2020-06-11 14:51:10,588 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.925261e-04, eta:1.050000e+00
2020-06-11 14:51:10,597 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.071524e-04, eta:1.050000e+00
2020-06-11 14:51:10,604 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.225100e-04, eta:1.050000e+00
2020-06-11 14:51:10,611 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.386355e-04, eta:1.050000e+00
2020-06-11 14:51:10,618 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.555673e-04, eta:1.050000e+00
2020-06-11 14:51:10,624 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.733456e-04, eta:1.050000e+00
2020-06-11 14:51:10,630 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.920129e-04, eta:1.050000e+00
2020-06-11 14:51:10,637 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.116136e-04, eta:1.050000e+00
2020-06-11 14:51:10,643 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.321942e-04, eta:1.050000e+00
2020-06-11 14:51:10,651 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.538039e-04, eta:1.050000e+00
2020-06-11 14:51:10,657 - DEBUG - fx_L1_mfista- itercount: 0, L: 4.764941e-04, eta:1.050000e+00
2020-06-11 14:51:10,664 - DEBUG - fx_L1_mfista- itercount: 0, L: 5.003189e-04, eta:1.050000e+00
