2020-06-11 14:53:14,275 - INFO - <module>- Main part starts
2020-06-11 14:53:21,306 - ERROR - only_fx_mfista- Too large L!! Change l1 or l2 values!!
2020-06-11 14:53:21,306 - INFO - only_fx_mfista- end fitting: itercount: 47
2020-06-11 14:53:23,960 - DEBUG - only_fx_mfista- iternum:50, L: 1.220855e+08, F_xk: 8.360888e+00, chi:2.211668e+08, reg: 8.131964e+06, rela_err:2.792713e-05
2020-06-11 14:53:25,163 - DEBUG - only_fx_mfista- iternum:100, L: 1.220855e+08, F_xk: 8.347013e+00, chi:2.049225e+08, reg: 1.735341e+07, rela_err:7.002930e-06
2020-06-11 14:53:26,335 - DEBUG - only_fx_mfista- iternum:150, L: 1.220855e+08, F_xk: 8.343456e+00, chi:2.005499e+08, reg: 1.995385e+07, rela_err:2.302428e-06
2020-06-11 14:53:27,506 - DEBUG - only_fx_mfista- iternum:200, L: 1.220855e+08, F_xk: 8.342055e+00, chi:1.992818e+08, reg: 2.052261e+07, rela_err:1.089317e-06
2020-06-11 14:53:27,657 - INFO - only_fx_mfista- end; fitting. iternum:201, relative dif of F: 1.074121e-06
2020-06-11 14:53:27,692 - DEBUG - fx_L1_mfista- itercount: 0, L: 9.523810e-05, eta:1.050000e+00
2020-06-11 14:53:27,699 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.000000e-04, eta:1.050000e+00
2020-06-11 14:53:27,705 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.050000e-04, eta:1.050000e+00
2020-06-11 14:53:27,711 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.102500e-04, eta:1.050000e+00
2020-06-11 14:53:27,719 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.157625e-04, eta:1.050000e+00
2020-06-11 14:53:27,725 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.215506e-04, eta:1.050000e+00
2020-06-11 14:53:27,731 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.276282e-04, eta:1.050000e+00
2020-06-11 14:53:27,738 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.340096e-04, eta:1.050000e+00
2020-06-11 14:53:27,744 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.407100e-04, eta:1.050000e+00
2020-06-11 14:53:27,752 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.477455e-04, eta:1.050000e+00
2020-06-11 14:53:27,758 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.551328e-04, eta:1.050000e+00
2020-06-11 14:53:27,764 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.628895e-04, eta:1.050000e+00
2020-06-11 14:53:27,771 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.710339e-04, eta:1.050000e+00
2020-06-11 14:53:27,778 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.795856e-04, eta:1.050000e+00
2020-06-11 14:53:27,786 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.885649e-04, eta:1.050000e+00
2020-06-11 14:53:27,792 - DEBUG - fx_L1_mfista- itercount: 0, L: 1.979932e-04, eta:1.050000e+00
2020-06-11 14:53:27,798 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.078928e-04, eta:1.050000e+00
2020-06-11 14:53:27,805 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.182875e-04, eta:1.050000e+00
2020-06-11 14:53:27,810 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.292018e-04, eta:1.050000e+00
2020-06-11 14:53:27,817 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.406619e-04, eta:1.050000e+00
2020-06-11 14:53:27,824 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.526950e-04, eta:1.050000e+00
2020-06-11 14:53:27,830 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.653298e-04, eta:1.050000e+00
2020-06-11 14:53:27,837 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.785963e-04, eta:1.050000e+00
2020-06-11 14:53:27,843 - DEBUG - fx_L1_mfista- itercount: 0, L: 2.925261e-04, eta:1.050000e+00
2020-06-11 14:53:27,849 - DEBUG - fx_L1_mfista- itercount: 0, L: 3.071524e-04, eta:1.050000e+00
