2020-08-19 15:00:09,858|INFO    |numexpr.utils|_init_num_threads|NumExpr defaulting to 8 threads.
2020-08-19 15:00:28,241|INFO    |solver_mfreq|fx_L1_mfista|end; fitting. iternum:65, relative dif of F: 0.000000e+00

2020-08-19 15:00:28,250|INFO    |solver_mfreq|fx_L1_mfista|chi:5.432798e+03, L1:8.101133e+02, Reg:8.760085e+01 
2020-08-19 15:00:33,029|INFO    |solver_mfreq|fx_L1_mfista|end; fitting. iternum:56, relative dif of F: 9.150248e-08

2020-08-19 15:00:33,035|INFO    |solver_mfreq|fx_L1_mfista|chi:2.162782e+03, L1:8.176946e+02, Reg:4.548237e+01 
2020-08-19 15:00:34,549|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.379464e+06, l1:9.687558e+04, TSV:1.967489e+05, beta:7.624568e+02, sum:2.308749e+06
2020-08-19 15:00:34,624|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.374479e+06, l1:9.696566e+04, TSV:1.960747e+05, beta:7.622869e+02, sum:2.301916e+06
2020-08-19 15:00:34,682|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.359147e+06, l1:9.732601e+04, TSV:1.934116e+05, beta:7.617266e+02, sum:2.279302e+06
2020-08-19 15:00:34,748|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.292838e+06, l1:9.839478e+04, TSV:1.775496e+05, beta:7.609131e+02, sum:2.166212e+06
2020-08-19 15:00:34,813|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.158405e+06, l1:9.984428e+04, TSV:1.393482e+05, beta:7.735336e+02, sum:1.915572e+06
2020-08-19 15:00:34,882|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:9.297964e+05, l1:9.863783e+04, TSV:9.204022e+04, beta:8.206071e+02, sum:1.533594e+06
2020-08-19 15:00:34,951|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:6.267079e+05, l1:7.868983e+04, TSV:2.822640e+04, beta:9.079281e+02, sum:9.657146e+05
2020-08-19 15:00:35,024|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.835119e+05, l1:6.376793e+04, TSV:1.423705e+04, beta:9.493314e+02, sum:7.311347e+05
2020-08-19 15:00:35,098|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:3.106757e+05, l1:6.064090e+04, TSV:1.147552e+04, beta:9.155744e+02, sum:5.396435e+05
2020-08-19 15:00:35,174|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:2.817898e+05, l1:5.832244e+04, TSV:1.082795e+04, beta:9.007257e+02, sum:5.013632e+05
2020-08-19 15:00:35,254|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.947171e+05, l1:4.723851e+04, TSV:9.449494e+03, beta:8.933068e+02, sum:3.748737e+05
2020-08-19 15:00:35,338|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.416087e+05, l1:3.967494e+04, TSV:9.242109e+03, beta:8.796251e+02, sum:2.971777e+05
2020-08-19 15:00:35,424|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:9.806300e+04, l1:3.109250e+04, TSV:7.839339e+03, beta:8.785470e+02, sum:2.220548e+05
2020-08-19 15:00:35,511|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:5.009399e+04, l1:1.764127e+04, TSV:5.498665e+03, beta:8.837765e+02, sum:1.241527e+05
2020-08-19 15:00:35,600|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:3.109608e+04, l1:1.277409e+04, TSV:3.795873e+03, beta:8.826158e+02, sum:8.437753e+04
2020-08-19 15:00:35,687|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.830675e+04, l1:1.217933e+04, TSV:3.436401e+03, beta:8.843729e+02, sum:6.857240e+04
2020-08-19 15:00:35,773|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.498895e+04, l1:1.119557e+04, TSV:3.054946e+03, beta:8.866881e+02, sum:6.093974e+04
2020-08-19 15:00:35,866|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:1.235810e+04, l1:9.617465e+03, TSV:2.598322e+03, beta:8.898557e+02, sum:5.187767e+04
